% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 21.01    0.030550          11      2713      1681 newfstatat
 17.71    0.025750          41       620           write
 16.02    0.023293          14      1637           read
  9.20    0.013375       13375         1           wait4
  7.68    0.011161          18       615        38 openat
  5.43    0.007896          12       611           close
  5.15    0.007493           9       772        69 lseek
  4.51    0.006555          10       610       604 ioctl
  2.54    0.003687          31       118           sendto
  1.78    0.002592          24       105           mmap
  1.56    0.002269        2269         1           clone
  1.44    0.002088           8       252           brk
  1.03    0.001503          22        66         2 epoll_wait
  0.77    0.001113          16        68           epoll_ctl
  0.69    0.001003          14        69           fcntl
  0.59    0.000859          29        29           accept4
  0.57    0.000822          31        26           mprotect
  0.47    0.000679          23        29           recvfrom
  0.34    0.000498          12        41           getcwd
  0.23    0.000335          67         5           munmap
  0.22    0.000326           7        43           geteuid
  0.22    0.000320           8        36           getegid
  0.19    0.000280           7        36           getgid
  0.17    0.000246           6        37           getuid
  0.06    0.000090          22         4           mremap
  0.06    0.000088          17         5           rt_sigprocmask
  0.05    0.000073          73         1           readlink
  0.05    0.000070           4        17           futex
  0.04    0.000052          17         3           socket
  0.03    0.000044          11         4           getrandom
  0.02    0.000033          33         1           clone3
  0.02    0.000024          12         2           getpid
  0.02    0.000023           7         3           rt_sigaction
  0.02    0.000023          23         1         1 access
  0.02    0.000022          11         2           pread64
  0.02    0.000022          11         2         2 connect
  0.01    0.000021          21         1           setsockopt
  0.01    0.000019          19         1           listen
  0.01    0.000018          18         1           bind
  0.01    0.000012          12         1           arch_prctl
  0.01    0.000011          11         1           set_tid_address
  0.01    0.000010          10         1           rseq
  0.01    0.000009           9         1           set_robust_list
  0.01    0.000009           9         1           prlimit64
  0.00    0.000007           3         2           epoll_create
  0.00    0.000005           5         1           sysinfo
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2           pipe2
------ ----------- ----------- --------- --------- ----------------
100.00    0.145378          16      8599      2397 total
